Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
South Dakota,United States,116167,1851,84214.399234308,30101.600765692005,12901.443398829932,2.084040566408581
St Martin,France,1657,12,1399.0,246.0,4286.194676530691,0.724200362100181
Stavropol Krai,Russia,50442,1227,47472.0,1743.0,1801.0664575741412,2.4324967289163792
Stockholm,Sweden,192075,4003,0.0,188072.0,8080.288387312002,2.0840817389040738
Sucre,Colombia,22914,849,21508.0,557.0,2532.317046889971,3.705158418434145
Sumy Oblast,Ukraine,58193,812,49583.0,7798.0,5381.175456668929,1.3953568298592611
Sverdlovsk Oblast,Russia,82516,2735,75855.0,3926.0,1907.771470636652,3.31450870134277
Tambov Oblast,Russia,29408,409,26886.0,2113.0,2845.33337461492,1.3907780195865072
Tamil Nadu,India,886673,12719,858075.0,15879.0,1139.0783246115457,1.4344634380431118
Tarapaca,Chile,28766,509,27204.0,1053.0,8702.254974921194,1.7694500451922408
Tatarstan Republic,Russia,19420,417,16322.0,2681.0,498.6796032338679,2.147270854788877
Telangana,India,308776,1701,301564.0,5511.0,784.4374216708333,0.5508847837914864
Tennessee,United States,777757,11669,564362.2999458741,201725.7000541259,12214.071782989991,1.8001543978401904
Terengganu,Malaysia,3595,13,3547.0,35.0,287.5769938404928,0.3616133518776078
Ternopil Oblast,Ukraine,54080,762,44874.0,8444.0,5170.770232502995,1.4090236686390532
Texas,United States,2786369,47913,2017367.8826199844,721088.1173800156,10041.085702712116,2.4627832921121255
Thuringen,Germany,95394,3337,82490.0,9567.0,4499.214002962876,3.498123571713106
Tianjin,China,373,3,358.0,12.0,2.690031428654056,0.8042895442359249
Tibet,China,1,0,1.0,0.0,0.027411529289219,0.0
Tocantins,Brazil,141913,2057,121515.0,17428.0,8962.937720060068,1.4413903174321687
Tochigi,Japan,4638,70,4349.0,219.0,239.81509728592184,1.5092712376024149
Tokushima,Japan,535,18,445.0,72.0,73.4913328305702,3.364485981308411
Tokyo,Japan,120986,1770,115690.0,3526.0,869.1109036976184,1.462979187674607
Tolima,Colombia,66546,2150,63596.0,800.0,5002.755251705212,3.2308478345805907
Tomsk Oblast,Russia,31387,356,30294.0,737.0,2910.8394851059093,1.1342275464364229
Toscana,Italy,195374,5348,161919.0,28107.0,5238.413026883821,2.737314074544208
Tottori,Japan,260,2,205.0,53.0,46.79979408090605,0.7692307692307693
Toyama,Japan,938,29,887.0,22.0,89.88962167777349,3.091684434968017
Tripura,India,33517,392,33065.0,60.0,803.8046963471097,1.1695557478294596
Tula Oblast,Russia,36235,1545,33660.0,1030.0,2428.855351223812,4.263833310335311
Turks and Caicos Islands,United Kingdom,2329,17,2268.0,44.0,6015.290045973449,0.7299270072992701
Tver Oblast,Russia,37394,731,35340.0,1323.0,2912.593379563244,1.954859068299728
Tyumen Oblast,Russia,33599,386,31669.0,1544.0,909.9501679124688,1.1488437155867737
Tyva Republic,Russia,15761,197,14907.0,657.0,4898.950025177016,1.2499206903115283
Udmurt Republic,Russia,30672,756,27275.0,2641.0,2027.1717147683744,2.464788732394366
Ulyanovsk Oblast,Russia,50824,969,47488.0,2367.0,4076.950597536695,1.9065795687076967
Umbria,Italy,50908,1256,44846.0,4806.0,5771.783926577213,2.467195725622692
Unknown,Afghanistan,56454,2484,51550.0,2420.0,145.02030795507056,4.400042512488043
Unknown,Albania,125157,2235,91271.0,31651.0,4349.051358676767,1.7857570890960952
Unknown,Algeria,117192,3093,81538.0,32561.0,267.2501997272904,2.639258652467745
Unknown,Andorra,12010,115,11315.0,580.0,15543.907331909662,0.9575353871773522
Unknown,Angola,22311,537,20493.0,1281.0,67.88419056279831,2.406884496436735
Unknown,Antigua and Barbuda,1136,28,820.0,288.0,1160.0359447757537,2.464788732394366
Unknown,Argentina,2348821,55858,2102616.0,190347.0,5196.99218800907,2.378129282733763
Unknown,Armenia,192639,3515,173064.0,16060.0,6500.971573625303,1.8246564818131323
